Date,Open,High,Low,Close,Ticker,,
2022-07-28,7302.529785,7372.75,7292.819824,7366.290039,BSE-200,,
2022-07-29,7419.609863,7470.879883,7409.419922,7465.399902,BSE-200,,
2022-08-01,7500.379883,7561.129883,7464.680176,7555.339844,BSE-200,,
2022-08-02,7550.5,7582.390137,7513.419922,7564.5,BSE-200,,
2022-08-03,7570.569824,7583.209961,7506.080078,7571.589844,BSE-200,,
2022-08-04,7601.160156,7622.350098,7477.830078,7579.600098,BSE-200,,
2022-08-05,7596.259766,7621.879883,7572.180176,7582.75,BSE-200,,
2022-08-08,7588.799805,7645.390137,7567.959961,7635.790039,BSE-200,,
2022-08-10,7654.720215,7655.370117,7600.47998,7635.100098,BSE-200,,
2022-08-11,7695.990234,7711.080078,7681.390137,7692.589844,BSE-200,,
2022-08-12,7690.040039,7725.839844,7674.040039,7715.529785,BSE-200,,
2022-08-16,7743.910156,7789.310059,7743.759766,7785.879883,BSE-200,,
2022-08-17,7802.060059,7848.890137,7798,7840.290039,BSE-200,,
2022-08-18,7825.089844,7857.169922,7809.629883,7852,BSE-200,,
2022-08-19,7861.649902,7872.299805,7751.569824,7767.209961,BSE-200,,
2022-08-22,7734.819824,7736.580078,7633.220215,7643.629883,BSE-200,,
2022-08-23,7572.609863,7707.009766,7569.870117,7686.759766,BSE-200,,
2022-08-24,7669.810059,7713.600098,7650.890137,7705.310059,BSE-200,,
2022-08-25,7730.490234,7762.240234,7666.830078,7680.02002,BSE-200,,
2022-08-26,7715.899902,7752.509766,7687.209961,7701.22998,BSE-200,,
2022-08-29,7491.890137,7634.370117,7491.790039,7610.549805,BSE-200,,
2022-08-30,7649.149902,7807.859863,7647.899902,7800.620117,BSE-200,,
2022-09-01,7712.700195,7785.589844,7697.549805,7731.009766,BSE-200,,
2022-09-02,7758.930176,7777.470215,7715.910156,7723.779785,BSE-200,,
2022-09-05,7726.77002,7777.509766,7726.529785,7768.22998,BSE-200,,
2022-09-06,7778.700195,7812.72998,7745.709961,7779.25,BSE-200,,
2022-09-07,7736.049805,7785.839844,7727.100098,7776.140137,BSE-200,,
2022-09-08,7819.330078,7842.220215,7798.200195,7837.129883,BSE-200,,
2022-09-09,7879.02002,7892.899902,7832.180176,7852.859863,BSE-200,,
2022-09-12,7868.310059,7919.220215,7868.310059,7906.740234,BSE-200,,
2022-09-13,7942.97998,7966.540039,7938.890137,7957.799805,BSE-200,,
2022-09-14,7815.439941,7966.629883,7813.859863,7934.359863,BSE-200,,
2022-09-15,7953.220215,7981.52002,7890.640137,7907.740234,BSE-200,,
2022-09-16,7874.27002,7884.879883,7716.549805,7740.120117,BSE-200,,
2022-09-19,7735.759766,7791.669922,7685.330078,7766.810059,BSE-200,,
2022-09-20,7818.109863,7901.580078,7818.109863,7855.029785,BSE-200,,
2022-09-21,7834.580078,7877.620117,7781.299805,7801.509766,BSE-200,,
2022-09-22,7755.919922,7814.600098,7730.779785,7784.52002,BSE-200,,
2022-09-23,7773.830078,7794.790039,7631.970215,7643.470215,BSE-200,,
2022-09-26,7570.029785,7579.859863,7460.950195,7482.279785,BSE-200,,
2022-09-27,7508.069824,7555.72998,7444.27002,7479.72998,BSE-200,,
2022-09-28,7429.640137,7498.379883,7403.620117,7421.350098,BSE-200,,
2022-09-29,7475.660156,7502.740234,7392.330078,7406.240234,BSE-200,,
2022-09-30,7384.080078,7550.439941,7363.450195,7522.740234,BSE-200,,
2022-10-03,7519.290039,7533.930176,7393.529785,7418.02002,BSE-200,,
2022-10-04,7517.540039,7595.220215,7517.459961,7591.629883,BSE-200,,
2022-10-06,7626.75,7665.890137,7625.629883,7630.959961,BSE-200,,
2022-10-07,7616.810059,7628.189941,7572.100098,7619.02002,BSE-200,,
2022-10-10,7519.959961,7595.52002,7506.439941,7578.200195,BSE-200,,
2022-10-11,7586.819824,7589.390137,7449.509766,7461.279785,BSE-200,,
2022-10-12,7478.290039,7526.819824,7443.850098,7519.27002,BSE-200,,
2022-10-13,7509.459961,7519.720215,7444.169922,7468.240234,BSE-200,,
2022-10-14,7578.600098,7600.649902,7511.149902,7517.339844,BSE-200,,
2022-10-17,7493.600098,7574.720215,7469.049805,7568.410156,BSE-200,,
